id;question;A;B;C;D;reponse
3;Quel est l'objectif principal de la programmation orientée objet (POO)?;Améliorer la vitesse d'exécution des programmes;Encapsuler le code pour une meilleure réutilisation;Réduire la complexité des algorithmes;Augmenter le nombre de lignes de code;B;
4;Quel est le rôle d'un compilateur dans le développement de logiciels?;Exécuter le code source;Traduire le code source en code machine;Détecter les erreurs logiques dans le code;Gérer la mémoire pendant l'exécution;B;
7;Quel est l'objectif de l'algorithmique de Dijkstra?;Trier une liste de nombres;Trouver le plus court chemin dans un graphe;Compresser des fichiers;Résoudre des systèmes d'équations;B;
9;Dans le contexte de la sécurité informatique, qu'est-ce qu'un pare-feu (firewall)?;Un logiciel antivirus;Un dispositif matériel pour surveiller les connexions réseau;Un programme pour détecter les logiciels malveillants;Un système pour prévenir les accès non autorisés au réseau;D;
11;Quel est le rôle d'un interpréteur dans le développement de logiciels?;Traduire le code source en code machine;Exécuter le code ligne par ligne;Optimiser le code source;Détecter les erreurs syntaxiques;B;
14;Dans le contexte des systèmes d'exploitation, qu'est-ce qu'un processus?;Un programme en cours d'exécution;Une instruction du système d'exploitation;Un fichier de configuration;Une tâche planifiée;A;
15;Quel est l'avantage principal de l'utilisation des structures de données abstraites?;Augmentation de la complexité du code;Réduction des performances;Encapsulation des détails d'implémentation;Diminution de la réutilisabilité du code;C;
17;Quel est le but de l'algorithmique de Boyer-Moore?;Trier des éléments;Rechercher un motif dans un texte;Rechercher des éléments dans un tableau;Résoudre des équations différentielles;B;
18;Dans le contexte des réseaux, que signifie l'acronyme DNS?;Domain Name System;Data Network Service;Digital Network System;Domain Network Service;A;
22;Quel est l'objectif principal de la modularité en programmation?;Améliorer la performance;Faciliter la maintenance et la réutilisation du code;Réduire le nombre de lignes de code;Augmenter la complexité du code;B;
23;Qu'est-ce qu'une machine virtuelle?;Un type de matériel informatique;Un logiciel qui émule un ordinateur;Une application de gestion de réseau;Un protocole de sécurité;B;
24;Quel est le principal avantage de l'utilisation des listes chaînées par rapport aux tableaux dynamiques?;Accès direct aux éléments;Utilisation de moins de mémoire;Insertion et suppression efficaces;Meilleure performance pour les opérations de tri;C;
38;Dans le contexte des systèmes d'exploitation, qu'est-ce qu'un deadlock (interblocage)?;Une condition où un processus prend trop de temps;Une situation où plusieurs processus sont bloqués en attendant des ressources;Une erreur de syntaxe dans le code source;Un protocole de communication entre processus;B;
43;Quel est l'objectif principal des tests unitaires en développement logiciel?;Tester l'intégration entre différents modules;Vérifier le fonctionnement de chaque unité de code;Améliorer la performance du logiciel;Analyser l'expérience utilisateur;B;
76;Qu'est-ce qu'un arbre binaire?;Un arbre où chaque nœud a au maximum deux enfants;Un arbre où chaque nœud a exactement deux enfants;Un arbre où chaque nœud a au maximum trois enfants;Un arbre où chaque nœud a exactement trois enfants;A;
77;Quel est le nœud racine dans un arbre binaire?;Le nœud sans parents;Le nœud sans enfants;Le nœud avec deux enfants;Le nœud au milieu de l'arbre;A;
78;Quel est le nœud feuille dans un arbre binaire?;Un nœud sans parents;Un nœud avec deux enfants;Un nœud sans enfants;Un nœud avec un seul parent;C;
79;Dans un arbre binaire, combien de sous-arbres un nœud peut-il avoir au maximum?;Un;Deux;Trois;Quatre;B;
80;Quel est le principal avantage d'utiliser des arbres binaires de recherche?;Facilité de mise en œuvre;Efficacité pour les opérations de recherche, d'insertion et de suppression;Utilisation de moins de mémoire;Compatibilité avec tous les types de données;B;
82;Quel parcours d'arbre visite les nœuds dans l'ordre gauche-racine-droit?;Parcours préfixe;Parcours infixe;Parcours suffixe;Parcours niveau par niveau;B;
