id;question;A;B;C;D;reponse
1;Quel est le principal avantage de l'utilisation des algorithmes de tri rapide (quicksort) par rapport à d'autres algorithmes de tri?;Simplicité de l'implémentation;Performance moyenne;Utilisation de moins de mémoire;Meilleure compatibilité avec les systèmes modernes;B;
8;En programmation, que signifie l'acronyme API?;Application Programming Interface;Automated Program Integration;Application Programming Interaction;Automated Process Interface;A;
40;Dans le contexte de l'intelligence artificielle, qu'est-ce que l'apprentissage supervisé?;Un type d'apprentissage sans étiquettes de données;Un type d'apprentissage avec des étiquettes de données;Un apprentissage basé sur des réseaux de neurones non supervisés;Un apprentissage basé sur des règles prédéfinies;B;
41;Quel est le rôle principal du garbage collector dans les langages de programmation?;Optimiser la vitesse d'exécution;Gérer l'allocation et la libération de mémoire;Détecter les erreurs de syntaxe;Compiler le code source;B;
49;Dans le contexte de la programmation, qu'est-ce qu'une fonction anonyme?;Une fonction sans nom définie avec une expression lambda;Une fonction qui ne retourne aucune valeur;Une fonction qui prend un nombre variable d'arguments;Une fonction définie en dehors de toutes les classes;A;
81;Comment appelle-t-on un arbre binaire où tous les nœuds ont soit zéro soit deux enfants?;Arbre binaire de recherche;Arbre complet;Arbre parfait;Arbre binaire complet;B;
87;Quel est le temps moyen de recherche dans un arbre binaire de recherche équilibré?;O(1);O(n);O(log n);O(n^2);C;
93;Quel est le nombre maximum de nœuds dans un arbre binaire de hauteur h?;2^h;2^(h+1)-1;h^2;2h;B;
160;Qu'est-ce qu'un "fix" dans le contexte de la gestion des bugs?;Une mise à jour logicielle;Une correction apportée à un bug;Un type de test;Une nouvelle fonctionnalité;B;
250;Quel est le résultat de ce code Python : 0.1 + 0.2 == 0.3;True;False;0.3;0.300000000000004;B;
136;Qu'est-ce que l'héritage en POO?;Créer des classes indépendantes;Permettre à une classe de dériver les propriétés et méthodes d'une autre classe;Empêcher le partage de code;Utiliser des fonctions globales;B;
141;Qu'est-ce qu'une classe abstraite en POO?;Une classe sans méthode;Une classe qui ne peut pas être instanciée directement et peut contenir des méthodes abstraites;Une classe qui ne peut pas hériter;Une classe sans propriétés;B;
136;Quel est le rôle de la mémoire cache?;Stocker des fichiers;Accélérer l'accès aux données fréquemment utilisées;Gérer les connexions réseau;Contrôler les périphériques;B;
140;Qu'est-ce qu'un GPU?;Unité de traitement graphique;Mémoire cache;Processeur;Disque dur;A;
143;Qu'est-ce que l'architecture x86?;Type de processeur;Type de mémoire;Type de bus;Type de disque dur;A;
