id;question;A;B;C;D;reponse
1;Qu'est ce qu'une methode ?;une fonction d'une classe;une caractéristique d'une classe;un objet d'une classe;un modèle d'objet;A;
2;Parmi les exemples suivant, lequel est un dictionnaire ?;{};[{1:True}];(1:False);[];A;
5;Dans un réseau informatique, qu'est-ce qu'une adresse IP?;Un identifiant unique pour chaque appareil connecté;Le nom d'un site web;Un protocole de transfert de fichiers;Un type de routeur;A;
10;Quelle est la principale caractéristique de la récursivité en programmation?;Utilisation de boucles pour itérer;Appels répétés à la même fonction;Exécution simultanée de plusieurs processus;Utilisation de variables globales;B;
12;En programmation, qu'est-ce qu'une boucle infinie?;Une boucle qui s'exécute sans fin;Une boucle avec un nombre de répétitions fixe;Une boucle qui se termine automatiquement;Une boucle qui ne s'exécute jamais;A;
13;Quel est le principal avantage des bases de données relationnelles?;Facilité d'implémentation;Gestion efficace des grandes quantités de données;Sécurité renforcée;Redondance des données;B;
16;Qu'est-ce qu'une fonction récursive?;Une fonction qui appelle d'autres fonctions;Une fonction qui s'appelle elle-même;Une fonction sans paramètres;Une fonction sans valeur de retour;B;
19;Quel est l'avantage de l'utilisation de la méthode de dichotomie (recherche binaire) pour rechercher un élément dans un tableau trié?;Simplicité de l'algorithme;Efficacité en termes de temps de recherche;Compatibilité avec tous les types de données;Réduction de l'utilisation de la mémoire;B;
20;Quel est le rôle principal d'un serveur web?;Gérer les requêtes de base de données;Héberger et servir des pages web;Contrôler l'accès aux réseaux;Analyser les fichiers de log;B;
26;Dans le contexte de la cryptographie, qu'est-ce qu'une clé publique?;Une clé utilisée pour déchiffrer un message;Une clé partagée entre l'expéditeur et le destinataire;Une clé qui est rendue publique pour chiffrer les messages;Une clé utilisée pour la compression de données;C;
27;Quel est l'avantage principal de l'utilisation des arbres binaires de recherche?;Insertion rapide d'éléments;Efficacité pour la recherche, l'insertion et la suppression;Utilisation de moins de mémoire;Simplicité d'implémentation;B;
30;Dans le contexte des algorithmes, qu'est-ce qu'une complexité en temps O(n)?;Le temps d'exécution est constant;Le temps d'exécution est proportionnel au carré du nombre d'éléments;Le temps d'exécution est proportionnel au nombre d'éléments;Le temps d'exécution est logarithmique;C;
32;Quel est le rôle principal d'un protocole de communication dans les réseaux informatiques?;Transférer des fichiers;Assurer la sécurité des données;Définir les règles de communication entre appareils;Optimiser la vitesse de transfert;C;
33;En programmation, qu'est-ce qu'une variable globale?;Une variable accessible uniquement dans une fonction;Une variable partagée entre plusieurs programmes;Une variable définie en dehors de toutes les fonctions;Une variable qui ne peut pas être modifiée;C;
36;Dans le contexte de la sécurité informatique, qu'est-ce qu'un chiffrement asymétrique?;Un chiffrement utilisant une seule clé;Un chiffrement qui utilise une clé publique et une clé privée;Un chiffrement symétrique avec deux clés identiques;Un chiffrement basé sur des images;B;
44;Dans le contexte des algorithmes, qu'est-ce qu'un tri fusion (merge sort)?;Un algorithme de tri par insertion;Un algorithme de tri par sélection;Un algorithme de tri basé sur la division et la fusion;Un algorithme de tri utilisant une file d'attente;C;
51;Quel est le principal rôle d'une boucle for en programmation?;Effectuer une tâche de manière répétée;Définir une fonction;Stocker des données;Importer une bibliothèque;A;
52;Qu'est-ce qu'une variable en programmation?;Un type de boucle;Une unité de stockage pour des données;Un algorithme de tri;Un protocole de communication;B;
53;Quelle est la structure de données utilisée pour stocker une séquence de caractères en Python?;Liste;Dictionnaire;Chaîne de caractères (string);Tuple;C;
54;Qu'est-ce que l'instruction if permet de faire en programmation?;Répéter des instructions;Tester une condition;Déclarer une variable;Importer une bibliothèque;B;
55;Quel type de boucle utilise-t-on pour répéter une action jusqu'à ce qu'une condition soit remplie?;Boucle for;Boucle while;Boucle switch;Boucle case;B;
56;Qu'est-ce qu'une liste en Python?;Une collection ordonnée et modifiable d'éléments;Un type de boucle;Une variable globale;Une méthode de tri;A;
57;Quelle est la fonction de base utilisée pour afficher du texte à l'écran en Python?;input();print();return();display();B;
59;Quelle est l'extension d'un fichier Python?;.java;.py;.html;.css;B;
60;Comment appelle-t-on une erreur dans un programme?;Un bug;Un log;Un package;Un loop;A;
61;Quel mot-clé en Python est utilisé pour définir une fonction?;def;function;define;func;A;
62;Qu'est-ce qu'un dictionnaire en Python?;Un type de boucle;Une collection non ordonnée d'éléments clés-valeurs;Une fonction intégrée;Une structure de contrôle;B;
63;Quel est le principal avantage de l'utilisation de fonctions en programmation?;Réduire le nombre de lignes de code;Rendre le code plus lisible et réutilisable;Augmenter la complexité du programme;Limiter l'utilisation des variables;B;
64;Quel est le rôle de l'instruction else en programmation?;Répéter une action;Effectuer une action si une condition est fausse;Déclarer une variable;Importer une bibliothèque;B;
65;Quelle est la fonction utilisée pour obtenir une entrée utilisateur en Python?;print();input();return();get();B;
66;Comment appelle-t-on un morceau de code qui peut être réutilisé plusieurs fois?;Une variable;Une fonction;Un loop;Un dictionnaire;B;
67;Quel est le rôle principal des commentaires dans le code source?;Augmenter la vitesse du programme;Rendre le code plus lisible en expliquant son fonctionnement;Détecter les erreurs;Optimiser le stockage des données;B;
69;Quel est l'opérateur utilisé pour l'égalité en Python?;==;=;!=;<>;A;
70;Quelle est la méthode utilisée pour ajouter un élément à la fin d'une liste en Python?;append();add();insert();push();A;
71;Quel est le rôle principal d'une condition en programmation?;Effectuer des actions répétitives;Diviser le programme en sections;Prendre des décisions en fonction de critères;Importer des bibliothèques;C;
72;Quel est le résultat de l'expression 3 + 2 * 2 en Python?;10;7;9;8;B;
73;Quel type de données représente le nombre 42 en Python?;String;Float;Integer;Boolean;C;
74;Quel est le symbole utilisé pour les commentaires sur une seule ligne en Python?;//;/* */;##;#;D;
